title,genre,release_date,country,url,poster_url,Siêu anh hùng,Tôn Giáo,Lãng mạn,Ma,Chiến tranh,Phiêu lưu,Trinh thám,Tình cảm,Kinh dị,Giả tưởng,Tội phạm,Tâm Linh,Hành động,Đẹp Trai,Cổ Trang,Chính kịch,Truyền hình thực tế,Hoạt hình,Bí ẩn,Gay cấn,Gia đình,Khoa học - Viễn tưởng,Hài,Hình sự,Thảm hoạ,Thể thao,Giật gân,Lịch sử,Âm Nhạc,Drama,Tài liệu,Tâm lý
Nhà Gia Tiên,"Gia đình, Tâm Linh, Hài",21/02/2025,Việt Nam,https://www.momo.vn/cinema/nha-gia-tien-24210/review,https://cinema.momocdn.net/img/17174455224600722-NHAGIATIENSNEAK.jpg?size=M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Lật Mặt 7: Một Điều Ước,"Gia đình, Tình cảm, Hài",26/04/2024,Việt Nam,https://www.momo.vn/cinema/face-off-7-one-wish-23775/review,https://cinema.momocdn.net/img/37468944460128007-Untitled-1.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Bộ Tứ Báo Thủ,"Hài, Lãng mạn",29/01/2025,,https://www.momo.vn/cinema/bo-tu-bao-thu-24186/review,https://cinema.momocdn.net/img/16827352750066146-image_2025_01_30T04_36_50_953Z.png?size=M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thám Tử Kiên: Kỳ Án Không Đầu,"Bí ẩn, Gay cấn, Kinh dị, Hình sự",28/04/2025,,https://www.momo.vn/cinema/tham-tu-kien-ky-an-khong-dau-24272/review,https://cinema.momocdn.net/img/77368526851200910-kien.jpg?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Mưa Đỏ,"Lịch sử, Hành động",22/08/2025,,https://www.momo.vn/cinema/mua-do-24511/review,https://cinema.momocdn.net/img/87791512525791828-luudanh.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nụ Hôn Bạc Tỷ,"Hài, Lãng mạn",29/01/2025,Việt Nam,https://www.momo.vn/cinema/nu-hon-bac-ty-24185/review,https://cinema.momocdn.net/img/31337174866614229-nhbt.jpg?size=M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Truy Tìm Long Diên Hương,"Hài, Hành động",14/11/2025,Việt Nam,https://www.momo.vn/cinema/truy-tim-long-dien-huong-24588/review,https://cinema.momocdn.net/img/41381767236832888-mainwhale.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lật Mặt 8: Vòng Tay Nắng,"Chính kịch, Gia đình, Âm Nhạc",30/04/2025,,https://www.momo.vn/cinema/lat-mat-8-vong-tay-nang-24262/review,https://cinema.momocdn.net/img/77210013985876184-lm81.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Quật Mộ Trùng Ma (chiếu lại),"Bí ẩn, Gay cấn, Kinh dị",15/03/2024,Hàn Quốc,https://www.momo.vn/cinema/exhuma-23755/review,https://cinema.momocdn.net/img/80423365682447907-exhumaposter.jpeg?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tử Chiến Trên Không,"Gay cấn, Hình sự, Hành động",19/09/2025,Việt Nam,https://www.momo.vn/cinema/tu-chien-tren-khong-24543/review,https://cinema.momocdn.net/img/44256064714703964-longgggggggggg.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Phi Vụ Động Trời 2 (Zootopia 2),"Gia đình, Phiêu lưu, Hài, Hoạt hình",28/11/2025,,https://www.momo.vn/cinema/zootopia-2-24320/review,https://cinema.momocdn.net/img/15304822439498794-zooooo2.png?size=M,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Thám Tử Lừng Danh Conan: Ngôi Sao 5 Cánh 1 Triệu Đô,"Bí ẩn, Hình sự, Hành động, Hoạt hình",02/08/2024,Nhật Bản,https://www.momo.vn/cinema/conan-movie-27-the-milliondollar-pentagram-23844/review,https://cinema.momocdn.net/img/100409012704431103-conan.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Địa Đạo: Mặt Trời Trong Bóng Tối,"Chiến tranh, Lịch sử",04/04/2025,,https://www.momo.vn/cinema/dia-dao-mat-troi-trong-bong-toi-24252/review,https://cinema.momocdn.net/img/122505961134951900-diadaiiiiiiiiii.png?size=M,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thanh Gươm Diệt Quỷ: Vô Hạn Thành (chiếu lại),"Gay cấn, Giả tưởng, Hành động, Hoạt hình",15/08/2025,,https://www.momo.vn/cinema/kimetsu-no-yaiba-infinity-castle-24433/review,https://cinema.momocdn.net/img/90126602072536934-kimesstu.png?size=M,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Đất Rừng Phương Nam,"Chiến tranh, Chính kịch, Gia đình",16/10/2023,Việt Nam,https://www.momo.vn/cinema/song-of-the-south-993/review,https://cinema.momocdn.net/img/21556485482318514-poster.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quỷ Nhập Tràng,Kinh dị,07/03/2025,,https://www.momo.vn/cinema/quy-nhap-trang-24232/review,https://cinema.momocdn.net/img/129193422137553056-quynhaptrang.png?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thám Tử Lừng Danh Conan: Dư Ảnh Của Độc Nhãn (Chiếu lại),"Bí ẩn, Hình sự, Hành động, Hoạt hình",25/07/2025,,https://www.momo.vn/cinema/conan-movie-28-24316/review,https://cinema.momocdn.net/img/89520077420501400-conannn.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CÁM,Kinh dị,20/09/2024,Việt Nam,https://www.momo.vn/cinema/the-sisters-23868/review,https://cinema.momocdn.net/img/108447383352578608-8QsdQVvaNPngTv6ZtLhk1CTOJia.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doraemon Movie 44: Nobita và Cuộc Phiêu Lưu Vào Thế Giới Trong Tranh,"Gia đình, Phiêu lưu, Giả tưởng, Hoạt hình",23/05/2025,,https://www.momo.vn/cinema/doraemon-movie-44-nobita-no-esekai-monogatari-24280/review,https://cinema.momocdn.net/img/80099757410724750-doemon.png?size=M,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tee Yod: Quỷ Ăn Tạng Phần 2,"Gay cấn, Kinh dị",18/10/2024,Thái Lan,https://www.momo.vn/cinema/tee-yod-2-24044/review,https://cinema.momocdn.net/img/50203322122973007-56744601924282197-Capture-2024-09-30-112200-compressed.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yêu Nhầm Bạn Thân,"Hài, Lãng mạn",29/01/2025,,https://www.momo.vn/cinema/yeu-nham-ban-than-24133/review,https://cinema.momocdn.net/img/31925480502221510-ynnbtt.jpg?size=M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thiên Đường Máu,"Tâm lý, Hành động",30/12/2025,,https://www.momo.vn/cinema/thien-duong-mau-24734/review,https://cinema.momocdn.net/img/29952517870088969-tdmm.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MA DA,Kinh dị,16/08/2024,Việt Nam,https://www.momo.vn/cinema/ma-da-23865/review,https://cinema.momocdn.net/img/52528406612837557-Untitled-1.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Út Lan: Oán Linh Giữ Của,Kinh dị,20/06/2025,,https://www.momo.vn/cinema/ut-lan-oan-linh-giu-cua-24322/review,https://cinema.momocdn.net/img/79370384348530462-ditaoquay.png?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cửu Long Thành Trại: Vây Thành,"Gay cấn, Hành động",14/06/2024,Hồng Kông,https://www.momo.vn/cinema/twilight-of-the-warriors-walled-in-23846/review,https://cinema.momocdn.net/img/51766132477025367-CLTT_600x800.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Làm Giàu Với Ma: Cuộc Chiến Hột Xoàn,"Chính kịch, Hài, Hành động",29/08/2025,,https://www.momo.vn/cinema/lam-giau-voi-ma-2-cuoc-chien-hot-xoan-24513/review,https://cinema.momocdn.net/img/122087509418796620-lgvm2.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Godzilla x Kong: Đế Chế Mới (Chiếu lại),"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",19/04/2025,Mỹ,https://www.momo.vn/cinema/godzilla-x-kong-the-new-empire-23713/review,https://cinema.momocdn.net/img/34886228500869215-u9OfO59SHIuXOO3gPSzEJUTSJbP.jpg,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chị Dâu,"Chính kịch, Hài",20/12/2024,,https://www.momo.vn/cinema/chi-dau-24144/review,https://cinema.momocdn.net/img/92218906195377219-poster_Chi_Dau.jpg?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Người Vợ Cuối Cùng (Chiếu lại),"Chính kịch, Lãng mạn",19/01/2024,Việt Nam,https://www.momo.vn/cinema/nguoi-vo-cuoi-cung-23587/review,https://cinema.momocdn.net/img/15087893214581577-dRgYeBp48TwCU84d6BR7A3VwfUi.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Làm Giàu Với Ma (Chiếu Lại),"Gia đình, Hài",30/08/2024,Việt Nam,https://www.momo.vn/cinema/lam-giau-voi-ma-23985/review,https://cinema.momocdn.net/img/52615077350325982-lamgiàu-với-ma.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Đèn Âm Hồn,Kinh dị,07/02/2025,,https://www.momo.vn/cinema/the-soul-lantern-24214/review,https://cinema.momocdn.net/img/31430676986297982-denamhon.jpg?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gặp Lại Chị Bầu,"Gia đình, Hài, Lãng mạn",10/02/2024,Việt Nam,https://www.momo.vn/cinema/gap-lai-chi-bau-23735/review,https://cinema.momocdn.net/img/13459230988034261-GặpLạiChịBầu.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Lật Mặt 6: Tấm Vé Định Mệnh,"Bí ẩn, Chính kịch, Hài, Hành động",28/04/2023,Việt Nam,https://www.momo.vn/cinema/lat-mat-6-tam-ve-dinh-menh-961/review,https://cinema.momocdn.net/img/9fbc661f-e26d-4544-8ee9-2e022ab5c329-67607266214674761.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Quỷ Cẩu,Kinh dị,27/12/2023,Việt Nam,https://www.momo.vn/cinema/quy-cau-23693/review,https://cinema.momocdn.net/img/57605329125587112-QuyCau_600x800.png,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gia Tài Của Ngoại,Chính kịch,07/06/2024,Thái Lan,https://www.momo.vn/cinema/how-to-make-millions-before-grandma-dies-23807/review,https://cinema.momocdn.net/img/51212590525459012-GiaTaiCuaNgoai_600x800-compressed.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404 Chạy Ngay Đi (Chiếu Lại),"Kinh dị, Hài",27/12/2024,,https://www.momo.vn/cinema/404-run-run-24182/review,https://cinema.momocdn.net/img/75834623036246335-404pst.jpg?size=M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kung Fu Panda 4,"Gia đình, Phiêu lưu, Hài, Hành động, Hoạt hình",08/03/2024,Mỹ,https://www.momo.vn/cinema/kung-fu-panda-4-23758/review,https://cinema.momocdn.net/img/33921126334732652-7quq3UOaaB0qNM7TMGMEqqghLck.jpg,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Doraemon: Nobita và bản giao hưởng Địa Cầu,"Phiêu lưu, Âm Nhạc, Khoa học - Viễn tưởng, Giả tưởng, Hoạt hình",24/05/2024,Nhật Bản,https://www.momo.vn/cinema/doraemon-nobita-va-ban-giao-huong-dia-cau-23815/review,https://cinema.momocdn.net/img/57932774564813069-sKwOXRajl9YfnXHoisxSScs36YS.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Tee Yod: Quỷ Ăn Tạng 3,"Gay cấn, Kinh dị, Hành động",10/10/2025,,https://www.momo.vn/cinema/teeyod-3-24546/review,https://cinema.momocdn.net/img/106705932614705309-payofffteeyod.png?size=M,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mưa Lửa - Anh Trai Vượt Ngàn Chông Gai Movie,"Âm Nhạc, Tài liệu",16/05/2025,,https://www.momo.vn/cinema/mua-lua-anh-trai-vuot-ngan-chong-gai-movie-24310/review,https://cinema.momocdn.net/img/75837038244383413-chonggai.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Kẻ Ăn Hồn,"Gay cấn, Kinh dị, Ma",15/12/2023,Việt Nam,https://www.momo.vn/cinema/ke-an-hon-23688/review,https://cinema.momocdn.net/img/27776764754394249-kea.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cô Dâu Hào Môn,"Gia đình, Hài",18/10/2024,Việt Nam,https://www.momo.vn/cinema/co-dau-hao-mon-24038/review,https://cinema.momocdn.net/img/65599395929739586-Capture-2024-10-03-220855.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Đẹp Trai Thấy Sai Sai,"Kinh dị, Hài",09/08/2024,Hàn Quốc,https://www.momo.vn/cinema/handsome-guys-23950/review,https://cinema.momocdn.net/img/52004062221019772-deptrai.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mang Mẹ Đi Bỏ,"Chính kịch, Gia đình",01/08/2025,,https://www.momo.vn/cinema/mang-me-di-bo-24313/review,https://cinema.momocdn.net/img/89435418967485480-mangmedibo.png?size=M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nhà Bà Nữ,Chính kịch,22/01/2023,Việt Nam,https://www.momo.vn/cinema/the-house-of-no-man-879/review,https://cinema.momocdn.net/img/94559568477929376-2 (1).jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linh Miêu: Quỷ Nhập Tràng,Kinh dị,22/11/2024,Việt Nam,https://www.momo.vn/cinema/linh-mieu-quy-nhap-trang-24045/review,https://cinema.momocdn.net/img/50706563295805291-Untitled-1.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vây Hãm: Kẻ Trừng Phạt,"Chính kịch, Hình sự, Hành động",26/04/2024,Hàn Quốc,https://www.momo.vn/cinema/the-roundup-punishment-23798/review,https://cinema.momocdn.net/img/53371822707621750-Vayham19.png,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Deadpool và Wolverine,"Phiêu lưu, Khoa học - Viễn tưởng, Hài",27/07/2024,Mỹ,https://www.momo.vn/cinema/deadpool-wolverine-23808/review,https://cinema.momocdn.net/img/11560189508231871-Untitled-1.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
